episode,reward,moving_average_100
1,-91.0,-91.0
2,-200.0,-145.5
3,-200.0,-163.66666666666666
4,-200.0,-172.75
5,-200.0,-178.2
6,-200.0,-181.83333333333334
7,-198.0,-184.14285714285714
8,-200.0,-186.125
9,-200.0,-187.66666666666666
10,-200.0,-188.9
11,-200.0,-189.9090909090909
12,-200.0,-190.75
13,-200.0,-191.46153846153845
14,-200.0,-192.07142857142858
15,-200.0,-192.6
16,-200.0,-193.0625
17,-156.0,-190.88235294117646
18,-200.0,-191.38888888888889
19,-200.0,-191.8421052631579
20,-200.0,-192.25
21,-200.0,-192.61904761904762
22,-200.0,-192.95454545454547
23,-200.0,-193.2608695652174
24,-178.0,-192.625
25,-200.0,-192.92
26,-145.0,-191.07692307692307
27,-200.0,-191.40740740740742
28,-200.0,-191.71428571428572
29,-200.0,-192.0
30,-200.0,-192.26666666666668
31,-200.0,-192.51612903225808
32,-200.0,-192.75
33,-200.0,-192.96969696969697
34,-200.0,-193.1764705882353
35,-200.0,-193.37142857142857
36,-200.0,-193.55555555555554
37,-200.0,-193.72972972972974
38,-200.0,-193.89473684210526
39,-200.0,-194.05128205128204
40,-200.0,-194.2
41,-200.0,-194.34146341463415
42,-200.0,-194.47619047619048
43,-200.0,-194.6046511627907
44,-177.0,-194.20454545454547
45,-200.0,-194.33333333333334
46,-200.0,-194.45652173913044
47,-200.0,-194.5744680851064
48,-200.0,-194.6875
49,-200.0,-194.79591836734693
50,-200.0,-194.9
51,-200.0,-195.0
52,-200.0,-195.09615384615384
53,-200.0,-195.18867924528303
54,-200.0,-195.27777777777777
55,-200.0,-195.36363636363637
56,-200.0,-195.44642857142858
57,-200.0,-195.52631578947367
58,-200.0,-195.60344827586206
59,-136.0,-194.59322033898306
60,-200.0,-194.68333333333334
61,-167.0,-194.2295081967213
62,-200.0,-194.32258064516128
63,-200.0,-194.4126984126984
64,-146.0,-193.65625
65,-200.0,-193.75384615384615
66,-200.0,-193.84848484848484
67,-154.0,-193.2537313432836
68,-200.0,-193.35294117647058
69,-200.0,-193.44927536231884
70,-195.0,-193.47142857142856
71,-200.0,-193.56338028169014
72,-200.0,-193.65277777777777
73,-200.0,-193.73972602739727
74,-187.0,-193.64864864864865
75,-200.0,-193.73333333333332
76,-155.0,-193.22368421052633
77,-200.0,-193.3116883116883
78,-200.0,-193.39743589743588
79,-200.0,-193.48101265822785
80,-200.0,-193.5625
81,-200.0,-193.64197530864197
82,-144.0,-193.03658536585365
83,-142.0,-192.42168674698794
84,-200.0,-192.51190476190476
85,-200.0,-192.6
86,-200.0,-192.6860465116279
87,-200.0,-192.77011494252875
